"City","State","year","month","temp"
"Manteo","NC","2001","12",11.7310009002686
"Topeka","KS","2001","12",3.37200021743774
"Ann Arbor","MI","2001","12",1.57500004768372
"New York","NY","2001","12",6.31400012969971
"San Diego","CA","2001","12",12.3550004959106
"Flagstaff","AZ","2001","12",-3.80400013923645
"Ajo ","AZ","2001","12",11.0450000762939
"Portland","OR","2001","12",5.96500015258789
"Raleigh","NC","2011","01",2.98200011253357
"Highlands","NC","2011","01",-1.09800004959106
"Manteo","NC","2011","01",4.34200000762939
"Topeka","KS","2011","01",-4.44800043106079
"Ann Arbor","MI","2011","01",-5.91100025177002
"New York","NY","2011","01",-1.74800002574921
"San Diego","CA","2011","01",14.1400003433228
"Flagstaff","AZ","2011","01",-2.8600001335144
"Ajo ","AZ","2011","01",12.8000001907349
"Portland","OR","2011","01",5.49500036239624
"Raleigh","NC","2011","02",7.45600032806396
"Highlands","NC","2011","02",3.94600009918213
"Manteo","NC","2011","02",8.02000045776367
"Topeka","KS","2011","02",-1.11500000953674
"Ann Arbor","MI","2011","02",-4.37700033187866
"New York","NY","2011","02",1.21300005912781
"San Diego","CA","2011","02",12.2270002365112
"Flagstaff","AZ","2011","02",-2.71200013160706
"Ajo ","AZ","2011","02",12.2760009765625
"Portland","OR","2011","02",4.80300045013428
"Raleigh","NC","2011","03",10.488000869751
"Highlands","NC","2011","03",6.79300022125244
"Manteo","NC","2011","03",10.7150001525879
"Topeka","KS","2011","03",6.94000053405762
"Ann Arbor","MI","2011","03",0.869000017642975
"New York","NY","2011","03",5.59600019454956
"San Diego","CA","2011","03",13.8680009841919
"Flagstaff","AZ","2011","03",3.10900020599365
"Ajo ","AZ","2011","03",18.4630012512207
"Portland","OR","2011","03",7.68800020217896
"Raleigh","NC","2011","04",16.8439998626709
"Highlands","NC","2011","04",11.8190002441406
"Manteo","NC","2011","04",17.6990013122559
"Topeka","KS","2011","04",13.5730009078979
"Ann Arbor","MI","2011","04",7.84600019454956
"New York","NY","2011","04",11.8930006027222
"San Diego","CA","2011","04",15.7360010147095
"Flagstaff","AZ","2011","04",6.13200044631958
"Ajo ","AZ","2011","04",22.07200050354
"Portland","OR","2011","04",8.8120002746582
"Raleigh","NC","2011","05",20.6020011901855
"Highlands","NC","2011","05",14.399001121521
"Manteo","NC","2011","05",20.9550018310547
"Topeka","KS","2011","05",17.9340000152588
"Ann Arbor","MI","2011","05",15.113000869751
"New York","NY","2011","05",17.8070011138916
"San Diego","CA","2011","05",16.2140007019043
"Flagstaff","AZ","2011","05",7.85100030899048
"Ajo ","AZ","2011","05",23.9070014953613
"Portland","OR","2011","05",12.0040006637573
"Raleigh","NC","2011","06",26.0650005340576
"Highlands","NC","2011","06",19.6330013275146
"Manteo","NC","2011","06",25.871000289917
"Topeka","KS","2011","06",25.4300003051758
"Ann Arbor","MI","2011","06",20.4930000305176
"New York","NY","2011","06",22.8380012512207
"San Diego","CA","2011","06",17.3170013427734
"Flagstaff","AZ","2011","06",14.6900005340576
"Ajo ","AZ","2011","06",30.5180015563965
"Portland","OR","2011","06",16.2020015716553
"Raleigh","NC","2011","07",28.1180019378662
"Highlands","NC","2011","07",20.6340007781982
"Manteo","NC","2011","07",27.6790008544922
"Topeka","KS","2011","07",29.6980018615723
"Ann Arbor","MI","2011","07",25.0250015258789
"New York","NY","2011","07",26.7780017852783
"San Diego","CA","2011","07",20.3850002288818
"Flagstaff","AZ","2011","07",18.3889999389648
"Ajo ","AZ","2011","07",32.5910034179688
"Portland","OR","2011","07",18.6420001983643
"Raleigh","NC","2011","08",26.2250003814697
"Highlands","NC","2011","08",20.101001739502
"Manteo","NC","2011","08",27.1820011138916
"Topeka","KS","2011","08",27.1710014343262
"Ann Arbor","MI","2011","08",21.5400009155273
"New York","NY","2011","08",24.2640018463135
"San Diego","CA","2011","08",20.3660011291504
"Flagstaff","AZ","2011","08",18.7620010375977
"Ajo ","AZ","2011","08",34.1820030212402
"Portland","OR","2011","08",20.3110008239746
"Raleigh","NC","2011","09",22.8290004730225
"Highlands","NC","2011","09",16.4530010223389
"Manteo","NC","2011","09",24.0090007781982
"Topeka","KS","2011","09",19.0950012207031
"Ann Arbor","MI","2011","09",16.9150009155273
"New York","NY","2011","09",21.4600009918213
"San Diego","CA","2011","09",19.8910007476807
"Flagstaff","AZ","2011","09",14.3440008163452
"Ajo ","AZ","2011","09",31.0020008087158
"Portland","OR","2011","09",19.6780014038086
"Raleigh","NC","2011","10",14.9210004806519
"Highlands","NC","2011","10",10.2390003204346
"Manteo","NC","2011","10",18.076000213623
"Topeka","KS","2011","10",14.9600009918213
"Ann Arbor","MI","2011","10",11.0340003967285
