"City","State","year","month","precip"
"Ajo ","AZ","2001","11",0.86599999666214
"Portland","OR","2001","11",193.061996459961
"Raleigh","NC","2001","12",49.4990005493164
"Highlands","NC","2001","12",117.516998291016
"Manteo","NC","2001","12",55.326000213623
"Topeka","KS","2001","12",5.92399978637695
"Ann Arbor","MI","2001","12",52.5480003356934
"New York","NY","2001","12",52.2919998168945
"San Diego","CA","2001","12",20.4699993133545
"Flagstaff","AZ","2001","12",30.1690006256104
"Ajo ","AZ","2001","12",9.77000045776367
"Portland","OR","2001","12",208.063995361328
"Raleigh","NC","2011","01",37.023998260498
"Highlands","NC","2011","01",83.2360000610352
"Manteo","NC","2011","01",94.4820022583008
"Topeka","KS","2011","01",30.0139999389648
"Ann Arbor","MI","2011","01",40.8549995422363
"New York","NY","2011","01",104.412002563477
"San Diego","CA","2011","01",14.1370000839233
"Flagstaff","AZ","2011","01",0
"Ajo ","AZ","2011","01",0
"Portland","OR","2011","01",126.648002624512
"Raleigh","NC","2011","02",32.7350006103516
"Highlands","NC","2011","02",84.7649993896484
"Manteo","NC","2011","02",66.7639999389648
"Topeka","KS","2011","02",51.5620002746582
"Ann Arbor","MI","2011","02",88.4369964599609
"New York","NY","2011","02",92.765998840332
"San Diego","CA","2011","02",78.1399993896484
"Flagstaff","AZ","2011","02",70.8219985961914
"Ajo ","AZ","2011","02",22.2000007629395
"Portland","OR","2011","02",101.944000244141
"Raleigh","NC","2011","03",99.5979995727539
"Highlands","NC","2011","03",414.748992919922
"Manteo","NC","2011","03",96.5899963378906
"Topeka","KS","2011","03",44.5849990844727
"Ann Arbor","MI","2011","03",90.2229995727539
"New York","NY","2011","03",183.283996582031
"San Diego","CA","2011","03",55.9099998474121
"Flagstaff","AZ","2011","03",23.4759998321533
"Ajo ","AZ","2011","03",9.27099990844727
"Portland","OR","2011","03",232.106002807617
"Raleigh","NC","2011","04",91.8190002441406
"Highlands","NC","2011","04",232.315002441406
"Manteo","NC","2011","04",64.1989974975586
"Topeka","KS","2011","04",96.5240020751953
"Ann Arbor","MI","2011","04",147.494003295898
"New York","NY","2011","04",177.533004760742
"San Diego","CA","2011","04",8.79699993133545
"Flagstaff","AZ","2011","04",27.1609992980957
"Ajo ","AZ","2011","04",7.7020001411438
"Portland","OR","2011","04",140.292007446289
"Raleigh","NC","2011","05",79.8320007324219
"Highlands","NC","2011","05",53.1780014038086
"Manteo","NC","2011","05",27.4060001373291
"Topeka","KS","2011","05",166.845001220703
"Ann Arbor","MI","2011","05",182.14599609375
"New York","NY","2011","05",138.259002685547
"San Diego","CA","2011","05",19.2740001678467
"Flagstaff","AZ","2011","05",29.507999420166
"Ajo ","AZ","2011","05",0
"Portland","OR","2011","05",81.3140029907227
"Raleigh","NC","2011","06",50.4580001831055
"Highlands","NC","2011","06",103.332000732422
"Manteo","NC","2011","06",29.738000869751
"Topeka","KS","2011","06",80.8690032958984
"Ann Arbor","MI","2011","06",29.8680000305176
"New York","NY","2011","06",91.7910003662109
"San Diego","CA","2011","06",1.33200001716614
"Flagstaff","AZ","2011","06",0
"Ajo ","AZ","2011","06",0
"Portland","OR","2011","06",32.5820007324219
"Raleigh","NC","2011","07",64.1910018920898
"Highlands","NC","2011","07",160.878005981445
"Manteo","NC","2011","07",125.891998291016
"Topeka","KS","2011","07",52.0019989013672
"Ann Arbor","MI","2011","07",126.386001586914
"New York","NY","2011","07",51.1860008239746
"San Diego","CA","2011","07",0
"Flagstaff","AZ","2011","07",64.1839981079102
"Ajo ","AZ","2011","07",27.5189990997314
"Portland","OR","2011","07",32.6259994506836
"Raleigh","NC","2011","08",223.608993530273
"Highlands","NC","2011","08",65.7740020751953
"Manteo","NC","2011","08",189.251007080078
"Topeka","KS","2011","08",112.079002380371
"Ann Arbor","MI","2011","08",93.6780014038086
"New York","NY","2011","08",443.032989501953
"San Diego","CA","2011","08",0
"Flagstaff","AZ","2011","08",71.9380035400391
"Ajo ","AZ","2011","08",40.9860000610352
"Portland","OR","2011","08",1.66100001335144
"Raleigh","NC","2011","09",134.470993041992
"Highlands","NC","2011","09",237.348007202148
"Manteo","NC","2011","09",255.313003540039
"Topeka","KS","2011","09",47.0900001525879
"Ann Arbor","MI","2011","09",130.914993286133
"New York","NY","2011","09",219.660003662109
"San Diego","CA","2011","09",3.49200010299683
"Flagstaff","AZ","2011","09",79.9530029296875
"Ajo ","AZ","2011","09",18.3610000610352
"Portland","OR","2011","09",20.7689990997314
"Raleigh","NC","2011","10",67.0210037231445
"Highlands","NC","2011","10",63.8019981384277
"Manteo","NC","2011","10",62.6119995117188
"Topeka","KS","2011","10",12.1199998855591
"Ann Arbor","MI","2011","10",66.302001953125
"New York","NY","2011","10",139.63200378418
"San Diego","CA","2011","10",13.1409997940063
"Flagstaff","AZ","2011","10",47.2589988708496
"Ajo ","AZ","2011","10",12.1879997253418
"Portland","OR","2011","10",68.7959976196289
"Raleigh","NC","2011","11",95.7180023193359
"Highlands","NC","2011","11",265.799011230469
"Manteo","NC","2011","11",66.2300033569336
"Topeka","KS","2011","11",120.66300201416
"Ann Arbor","MI","2011","11",142.419998168945
"New York","NY","2011","11",87.0950012207031
"San Diego","CA","2011","11",87.0770034790039
"Flagstaff","AZ","2011","11",40.8530006408691
"Ajo ","AZ","2011","11",55.1759986877441
"Portland","OR","2011","11",194.022994995117
"Raleigh","NC","2011","12",42.7610015869141
"Highlands","NC","2011","12",240.274993896484
"Manteo","NC","2011","12",24.681999206543
"Topeka","KS","2011","12",90.568000793457
"Ann Arbor","MI","2011","12",74.6060028076172
"New York","NY","2011","12",114.019996643066
"San Diego","CA","2011","12",24.9699993133545
"Flagstaff","AZ","2011","12",47.2150001525879
"Ajo ","AZ","2011","12",21.7509994506836
"Portland","OR","2011","12",83.359001159668
"Raleigh","NC","2021","01",118.077499389648
"Highlands","NC","2021","01",154.649993896484
"Manteo","NC","2021","01",152.061889648438
"Topeka","KS","2021","01",61.3398971557617
"Ann Arbor","MI","2021","01",38.3659973144531
"New York","NY","2021","01",64.7759017944336
"San Diego","CA","2021","01",59.8930969238281
"Flagstaff","AZ","2021","01",73.0851974487305
"Ajo ","AZ","2021","01",21.3767986297607
"Portland","OR","2021","01",196.910095214844
"Raleigh","NC","2021","02",180.061599731445
"Highlands","NC","2021","02",174.442291259766
"Manteo","NC","2021","02",212.342391967773
"Topeka","KS","2021","02",6.76769971847534
"Ann Arbor","MI","2021","02",38.6175003051758
"New York","NY","2021","02",126.722900390625
"San Diego","CA","2021","02",5.01569986343384
"Flagstaff","AZ","2021","02",14.8270998001099
"Ajo ","AZ","2021","02",0.0943999961018562
"Portland","OR","2021","02",136.771789550781
"Raleigh","NC","2021","03",64.1865005493164
"Highlands","NC","2021","03",322.513793945312
"Manteo","NC","2021","03",61.9137001037598
"Topeka","KS","2021","03",99.2135009765625
"Ann Arbor","MI","2021","03",44.1546974182129
"New York","NY","2021","03",68.0789947509766
"San Diego","CA","2021","03",52.3172988891602
"Flagstaff","AZ","2021","03",49.1651992797852
"Ajo ","AZ","2021","03",5.18289995193481
"Portland","OR","2021","03",49.9328994750977
"Raleigh","NC","2021","04",27.6097984313965
"Highlands","NC","2021","04",126.10489654541
"Manteo","NC","2021","04",87.2622985839844
"Topeka","KS","2021","04",63.7509002685547
"Ann Arbor","MI","2021","04",70.6598968505859
"New York","NY","2021","04",76.3246002197266
"San Diego","CA","2021","04",2.55239987373352
"Flagstaff","AZ","2021","04",10.3923997879028
"Ajo ","AZ","2021","04",0
"Portland","OR","2021","04",11.0324001312256
"Raleigh","NC","2021","05",59.4974975585938
"Highlands","NC","2021","05",133.435501098633
"Manteo","NC","2021","05",64.2178955078125
"Topeka","KS","2021","05",165.702102661133
"Ann Arbor","MI","2021","05",60.7542991638184
"New York","NY","2021","05",140.565200805664
"San Diego","CA","2021","05",2.67649984359741
"Flagstaff","AZ","2021","05",6.89939975738525
"Ajo ","AZ","2021","05",0
"Portland","OR","2021","05",35.3297996520996
"Raleigh","NC","2021","06",134.757400512695
"Highlands","NC","2021","06",166.345001220703
"Manteo","NC","2021","06",175.351791381836
"Topeka","KS","2021","06",114.409698486328
"Ann Arbor","MI","2021","06",226.011688232422
"New York","NY","2021","06",92.0873947143555
"San Diego","CA","2021","06",1.00730001926422
"Flagstaff","AZ","2021","06",3.62069988250732
"Ajo ","AZ","2021","06",8.05459976196289
"Portland","OR","2021","06",38.5695991516113
"Raleigh","NC","2021","07",142.782592773438
"Highlands","NC","2021","07",165.378890991211
"Manteo","NC","2021","07",138.334396362305
"Topeka","KS","2021","07",89.9007949829102
"Ann Arbor","MI","2021","07",110.998199462891
"New York","NY","2021","07",224.302688598633
"San Diego","CA","2021","07",1.28969991207123
"Flagstaff","AZ","2021","07",182.710098266602
"Ajo ","AZ","2021","07",82.2835998535156
"Portland","OR","2021","07",0
"Raleigh","NC","2021","08",76.5758972167969
"Highlands","NC","2021","08",312.329406738281
"Manteo","NC","2021","08",157.511901855469
"Topeka","KS","2021","08",98.7650985717773
"Ann Arbor","MI","2021","08",120.90299987793
"New York","NY","2021","08",167.464492797852
